"","et","X1","X2","X3","X4","X5","X6","X7","X8","X9","X10","X11","X12","X13"
"A","Estados Unidos Mexicanos",30601059,NA,13259752,43.3310232825603,NA,13558104,44.3059960768024,NA,3313259,10.8272690824197,NA,469944,1.53571155821764
"1","Aguascalientes",351673,NA,249886,71.056350643922,NA,93702,26.6446386273612,NA,7348,2.08944104324188,NA,737,0.209569685474859
"2","Baja California",946815,NA,811339,85.6913969466052,NA,81866,8.64646208604638,NA,47164,4.98133215042009,NA,6446,0.680808816928333
"3","Baja California Sur",207292,NA,110734,53.4193311849951,NA,79122,38.1693456573336,NA,12023,5.80003087432221,NA,5413,2.61129228334909
"4","Campeche",227144,NA,23017,10.1332194554996,NA,175460,77.2461522206178,NA,21829,9.6102032191033,NA,6838,3.01042510477935
"5","Coahuila de Zaragoza",806903,NA,499374,61.8877361962962,NA,240315,29.7823902005569,NA,65356,8.09961048601876,NA,1858,0.230263117128081
"6","Colima",215855,NA,69015,31.9728521461166,NA,127089,58.8770239280999,NA,15057,6.97551597136967,NA,4694,2.17460795441384
"7","Chiapas",1080693,NA,119753,11.0811303487669,NA,431480,39.9262325193186,NA,527196,48.7831419283737,NA,2264,0.209495203540691
"8","Chihuahua",1112306,NA,839730,75.4945132005042,NA,177585,15.9654807220315,NA,89627,8.05776467986327,NA,5364,0.48224139760102
"9","Ciudad de México",2630987,NA,1743996,66.2867585434668,NA,602401,22.8963883135873,NA,232111,8.82220246622275,NA,52479,1.99465067672322
"10","Durango",481533,NA,176644,36.6836748467914,NA,274846,57.0772927296779,NA,27245,5.65797152012427,NA,2798,0.581060903406412
"11","Guanajuato",1451883,NA,811610,55.900509889571,NA,628933,43.3184354386683,NA,5406,0.372344052516628,NA,5934,0.408710619244113
"12","Guerrero",486146,NA,147872,30.4171997712621,NA,293120,60.2946439958366,NA,33428,6.87612363364092,NA,11726,2.4120325992603
"13","Hidalgo",761357,NA,350237,46.0016785817954,NA,312083,40.9903632592857,NA,97399,12.7928159851423,NA,1638,0.215142173776559
"14","Jalisco",2236966,NA,1025915,45.8618950846817,NA,888326,39.7111981138739,NA,258497,11.5556964209559,NA,64228,2.87121038048857
"15","Estado de México",4208802,NA,702357,16.6878128265478,NA,2704614,64.2608989446403,NA,684304,16.2588784171838,NA,117527,2.79240981162811
"16","Michoacán de Ocampo",1150622,NA,215895,18.7633297468673,NA,784486,68.1792978058824,NA,130523,11.3436906299375,NA,19718,1.71368181731272
"17","Morelos",509439,NA,165735,32.5328449529777,NA,319678,62.7509868698706,NA,18510,3.63340851407136,NA,5516,1.08275966308037
"18","Nayarit",327082,NA,50978,15.5856941072881,NA,257959,78.8667673549752,NA,13220,4.04179991561749,NA,4925,1.50573862211922
"19","Nuevo León",1334692,NA,1302419,97.5819889532566,NA,7091,0.531283621989193,NA,22866,1.71320424487447,NA,2316,0.173523179879703
"20","Oaxaca",788322,NA,76401,9.69159810331311,NA,600509,76.1755982961277,NA,111412,14.1328036005592,NA,0,0
"21","Puebla",1463696,NA,367288,25.0931887495764,NA,889329,60.7591330440201,NA,151744,10.3671800701785,NA,55335,3.78049813622501
"22","Querétaro",487259,NA,399862,82.0635432080269,NA,85054,17.455603693313,NA,2343,0.480853098660056,NA,0,0
"23","Quintana Roo",484353,NA,395430,81.6408693659376,NA,70865,14.6308580725215,NA,16968,3.50323008219212,NA,1090,0.225042479348739
"24","San Luis Potosí",614973,NA,204047,33.1798306592322,NA,326079,53.0233034621032,NA,75453,12.2693191408403,NA,9394,1.52754673782426
"25","Sinaloa",815657,NA,605527,74.2379456070382,NA,181519,22.2543299450627,NA,26917,3.3000391095767,NA,1694,0.207685338322359
"26","Sonora",883037,NA,464721,52.6275795917951,NA,346163,39.2014151162409,NA,62209,7.04489166365622,NA,9944,1.12611362830776
"27","Tabasco",457338,NA,59332,12.9733370067652,NA,305493,66.7980793198903,NA,84119,18.393179661432,NA,8394,1.83540401191242
"28","Tamaulipas",928485,NA,495039,53.3168548764924,NA,339675,36.5837897219664,NA,68520,7.37976380878528,NA,25251,2.71959159275594
"29","Tlaxcala",296643,NA,2681,0.903779964469076,NA,266289,89.7674983060446,NA,23431,7.89872001024801,NA,4242,1.43000171923828
"30","Veracruz de Ignacio de la Llave",1899490,NA,373043,19.6391136568237,NA,1246285,65.6115588921237,NA,262102,13.7985459254853,NA,18060,0.950781525567389
"31","Yucatán",558630,NA,247755,44.3504645292949,NA,199622,35.7342068990208,NA,100727,18.0310760252761,NA,10526,1.88425254640818
"32","Zacatecas",394986,NA,152120,38.5127574141868,NA,221066,55.9680596274298,NA,18205,4.60902411731049,NA,3595,0.910158841072848
